Year,Month,Day,Hour,Ozone,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,PM10 particulate matter,Non-volatile PM10,Volatile PM10,PM2.5 particulate matter,Non-volatile PM2.5,Volatile PM2.5,Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2015,1,1,1,38.84963,9.07037,29.62208,43.52978,33.2,27.3,5.9,25.7,21.1,4.6,227.7,6.8,6.1
2015,1,1,2,49.09422,1.59571,21.95741,24.404139999999998,29.7,22.2,7.5,18.7,15.3,3.4,226.1,6.1,6.8
2015,1,1,3,48.09637,2.36207,17.913429999999998,21.53523,18.3,17.4,0.9,14.9,10.8,4.1,232.5,7.1,7.8
2015,1,1,4,46.5497,3.7478300000000004,19.19194,24.93852,15.5,14.8,0.7,15.0,9.9,5.1,230.6,6.5,8.2
2015,1,1,5,51.98799,2.11012,13.290920000000002,16.52639,9.2,8.8,0.4,11.5,8.1,3.4,226.2,6.8,8.5
2015,1,1,6,49.29379,1.63771,14.161579999999999,16.6727,18.3,11.9,6.4,11.6,7.9,3.7,217.2,6.6,8.8
2015,1,1,7,52.736369999999994,1.19678,10.99592,12.830960000000001,11.6,10.0,1.6,10.7,6.3,4.4,213.8,6.5,9.0
2015,1,1,8,46.30024,1.48023,15.81351,18.083170000000003,18.4,13.2,5.2,11.2,8.4,2.8,215.3,7.0,9.3
2015,1,1,9,45.70153,0.88184,15.75804,17.11018,19.5,15.6,3.9,10.9,8.0,2.9,217.0,7.5,9.5
2015,1,1,10,54.68218,0.7873600000000001,10.16494,11.3722,12.9,8.7,4.2,8.9,6.0,2.9,218.6,8.0,9.8
2015,1,1,11,59.272290000000005,0.9763200000000001,7.93018,9.42719,11.4,5.0,6.4,2.9,1.6,1.3,221.3,9.2,10.5
2015,1,1,12,65.05982,1.1338,8.32081,10.05927,13.1,5.2,7.9,5.4,0.1,5.3,220.9,10.0,10.7
2015,1,1,13,68.10325999999999,1.35426,8.46903,10.54553,11.7,3.2,8.5,6.1,-0.8,6.9,222.7,10.5,11.0
2015,1,1,14,68.30283,1.38575,8.420739999999999,10.54553,10.5,7.1,3.4,4.7,3.1,1.6,222.2,10.6,11.1
2015,1,1,15,67.35488000000001,1.48023,8.90795,11.177610000000001,6.4,1.5,4.9,7.0,3.2,3.8,227.3,10.2,11.6
2015,1,1,16,67.25509,1.25977,7.300489999999999,9.23212,15.1,6.4,8.7,3.9,1.0,2.9,229.2,10.5,11.7
2015,1,1,17,65.50885,1.25977,8.17689,10.10852,8.6,3.3,5.3,5.7,2.3,3.4,228.2,11.6,11.9
2015,1,1,18,66.10755999999999,1.1023,7.737019999999999,9.42719,4.8,1.5,3.3,7.2,-0.3,7.5,228.8,12.5,12.0
2015,1,1,19,66.90584,1.19678,6.62012,8.455160000000001,6.5,0.8,5.7,6.8,0.0,6.8,230.4,12.4,12.2
2015,1,1,20,66.75617,1.2912700000000001,6.18311,8.163030000000001,1.0,-0.4,1.4,-0.2,-1.8,1.6,233.3,12.7,12.2
2015,1,1,21,67.45466,1.1023,5.59741,7.28758,3.5,0.1,3.4,3.9,1.1,2.8,238.8,12.7,12.6
2015,1,1,22,68.05337,1.1023,5.549119999999999,7.23929,6.3,-1.5,7.8,3.7,0.8,2.9,248.3,12.9,12.8
2015,1,1,23,68.70196999999999,0.85035,3.99091,5.29476,2.4,-0.4,2.8,2.5,-1.1,3.6,260.1,12.6,12.8
2015,1,1,0,68.10325999999999,0.7873600000000001,3.7465900000000003,4.95385,1.6,-2.4,4.0,1.9,0.0,1.9,267.4,11.2,12.2
2015,1,2,1,72.90957,0.5459,3.3609,4.19794,2.2,-3.0,5.2,2.3,0.7,1.6,271.3,10.2,9.8
2015,1,2,2,79.62843000000001,0.29395,10.30136,10.75208,7.7,3.9,3.8,6.5,3.3,3.2,279.6,10.6,8.5
2015,1,2,3,81.07531,0.15747,4.78364,5.0250900000000005,12.4,9.3,3.1,3.7,3.3,0.4,285.3,10.3,7.5
2015,1,2,4,81.47445,0.15747,3.4205099999999997,3.6619599999999997,13.0,14.2,-1.2,7.1,5.4,1.7,287.6,10.2,6.7
2015,1,2,5,82.57209,0.09448,2.88453,3.0294,15.3,10.5,4.8,3.4,3.8,-0.4,287.4,9.9,6.2
2015,1,2,6,79.97768,0.22046,3.56777,3.9058,16.1,16.6,-0.5,3.2,3.2,0.0,285.9,9.4,5.8
2015,1,2,7,76.4852,0.40943,5.27324,5.90102,22.3,19.4,2.9,7.5,6.1,1.4,281.0,9.0,5.5
2015,1,2,8,73.49165,0.5039100000000001,7.513260000000001,8.285910000000001,15.4,16.0,-0.6,3.4,5.2,-1.8,278.4,8.7,5.2
2015,1,2,9,70.64778000000001,0.85035,10.04828,11.35212,13.8,13.5,0.3,6.8,6.5,0.3,275.8,8.8,5.1
2015,1,2,10,70.64778000000001,1.2912700000000001,10.346630000000001,12.32654,18.6,17.2,1.4,4.1,5.9,-1.8,277.2,9.5,5.5
2015,1,2,11,69.99918000000001,1.6692,10.88643,13.445829999999999,23.2,17.9,5.3,6.8,5.6,1.2,278.6,10.7,6.0
2015,1,2,12,70.09895999999999,1.63771,10.59334,13.10445,11.0,13.1,-2.1,7.1,5.8,1.3,283.6,11.3,6.4
2015,1,2,13,71.09680999999999,1.92115,11.37555,14.321279999999998,13.1,13.2,-0.1,2.1,4.1,-2.0,289.1,11.4,6.6
2015,1,2,14,74.38972,1.70069,9.27993,11.88762,11.6,13.8,-2.2,7.0,7.7,-0.7,290.8,11.1,6.4
2015,1,2,15,75.53725,1.51173,9.81352,12.13147,18.7,15.0,3.7,7.0,6.5,0.5,290.2,10.3,5.8
2015,1,2,16,72.4938,1.44874,12.05162,14.27299,23.0,19.0,4.0,3.6,4.8,-1.2,290.9,9.8,5.3
2015,1,2,17,64.41122,1.95265,19.69875,22.69277,21.6,22.4,-0.8,6.4,6.4,0.0,291.5,7.8,5.0
2015,1,2,18,61.71702,2.64552,22.23855,26.294959999999996,21.4,19.5,1.9,7.0,6.4,0.6,224.1,2.7,3.7
2015,1,2,19,53.03573000000001,3.3069,27.84409,32.9146,23.4,18.7,4.7,7.9,6.6,1.3,197.9,4.8,3.4
2015,1,2,20,50.491209999999995,3.62185,25.26843,30.82185,25.9,21.8,4.1,6.2,5.9,0.3,223.4,4.8,3.1
2015,1,2,21,47.84691,5.13358,24.36143,32.2328,22.3,20.2,2.1,7.9,6.8,1.1,235.6,4.4,2.8
2015,1,2,22,40.71228,5.25955,30.69132,38.75586,25.4,18.9,6.5,12.3,6.9,5.4,221.5,4.5,2.7
2015,1,2,23,41.46067,7.33818,30.521109999999997,41.77282,29.2,23.4,5.8,8.9,7.1,1.8,231.0,5.0,2.8
2015,1,2,0,43.70583,8.50347,28.1018,41.14027,25.4,19.7,5.7,8.4,6.4,2.0,229.1,4.4,2.6
2015,1,3,1,51.0234,11.169989999999999,21.93765,39.06473,17.0,15.2,1.8,9.5,6.0,3.5,237.6,5.6,2.4
2015,1,3,2,52.486909999999995,9.61627,25.48789,40.23263,10.8,6.4,4.4,5.7,5.2,0.5,231.8,4.8,2.7
2015,1,3,3,54.03358000000001,6.739789999999999,15.734620000000001,26.06881,17.9,10.4,7.5,7.3,4.1,3.2,236.6,5.8,3.5
2015,1,3,4,57.72561999999999,4.88162,12.59764,20.08268,20.0,13.2,6.8,5.2,1.7,3.5,241.4,5.8,3.9
2015,1,3,5,64.11186,1.0078200000000002,6.7583,8.3036,14.7,10.7,4.0,4.2,1.3,2.9,243.6,5.2,3.9
2015,1,3,6,63.11401,0.66138,8.26343,9.27754,9.5,7.7,1.8,2.5,0.3,2.2,237.9,4.6,3.5
2015,1,3,7,62.814659999999996,0.66138,8.750169999999999,9.76427,8.8,5.8,3.0,3.4,1.2,2.2,230.2,3.7,2.5
2015,1,3,8,63.66283000000001,0.69288,10.79415,11.856539999999999,9.7,3.3,6.4,1.8,-0.1,1.9,230.0,3.3,2.7
2015,1,3,9,55.08132,1.82667,20.59189,23.39274,3.8,0.0,3.8,1.7,-1.9,3.6,224.1,2.6,2.8
2015,1,3,10,48.34583,3.3698900000000003,26.35377,31.520870000000002,1.7,0.2,1.5,5.7,2.4,3.3,224.7,2.5,2.9
2015,1,3,11,40.412929999999996,4.59817,33.4262,40.47663,5.9,4.0,1.9,3.7,2.0,1.7,234.1,2.3,3.3
2015,1,3,12,35.9226,3.59035,35.55577,41.0609,10.7,8.3,2.4,5.1,3.6,1.5,241.7,1.8,3.5
2015,1,3,13,25.89421,6.487830000000001,45.52037,55.46824,10.8,8.5,2.3,7.9,6.2,1.7,282.1,1.9,3.6
2015,1,3,14,45.30239,3.9367900000000002,31.61745,37.65378,10.2,6.9,3.3,8.3,5.6,2.7,296.1,2.9,3.5
2015,1,3,15,40.812059999999995,4.4407,36.53927,43.34825,7.8,6.9,0.9,2.4,5.6,-3.2,322.6,3.9,3.9
2015,1,3,16,51.98799,2.803,30.53258,34.83045,7.8,5.9,1.9,4.5,5.5,-1.0,316.6,4.1,3.0
2015,1,3,17,44.50411,4.25173,34.24953,40.76876,8.9,6.5,2.4,6.6,6.0,0.6,311.6,4.0,2.8
2015,1,3,18,47.74712,2.96047,28.685109999999998,33.22443,5.3,5.3,0.0,7.8,7.1,0.7,310.9,3.5,2.6
2015,1,3,19,46.998740000000005,1.9841400000000002,27.99183,31.03414,9.0,7.9,1.1,5.5,7.6,-2.1,311.7,3.4,2.0
2015,1,3,20,43.15701,2.67702,30.33655,34.44126,8.7,8.4,0.3,8.5,9.6,-1.1,312.6,3.3,1.5
2015,1,3,21,33.97679,4.03127,38.48141,44.66261,17.6,12.9,4.7,13.9,12.5,1.4,317.5,3.3,1.2
2015,1,3,22,25.99399,6.4248400000000006,48.43932,58.29061,15.1,12.0,3.1,12.3,10.9,1.4,312.3,3.1,0.8
2015,1,3,23,6.8352699999999995,45.32033,75.24444,144.73465,27.7,25.1,2.6,20.2,19.2,1.0,308.9,3.3,0.8
2015,1,3,0,5.03914,75.58638,93.32904,209.22654,30.0,24.9,5.1,20.5,17.9,2.6,305.6,3.3,0.7
2015,1,4,1,3.39269,98.2203,97.51519,248.11755,37.7,32.9,4.8,26.0,21.6,4.4,283.7,2.6,-2.2
2015,1,4,2,19.49134,25.363429999999997,67.29641,106.18646000000001,21.4,15.8,5.6,13.1,11.1,2.0,286.8,2.8,-1.8
2015,1,4,3,4.73979,70.29533,89.6317,197.41638,25.5,21.8,3.7,22.7,20.5,2.2,290.2,2.9,-1.3
2015,1,4,4,2.49463,78.95626999999999,84.18825,205.25285,28.1,24.7,3.4,19.4,16.7,2.7,288.0,3.0,-1.1
2015,1,4,5,2.24516,49.09965,75.21098,150.49606,19.9,16.0,3.9,15.2,12.5,2.7,289.5,2.9,-0.9
2015,1,4,6,4.19097,29.32122,65.96595,110.92452,17.7,13.4,4.3,10.6,8.2,2.4,282.9,2.7,-1.1
2015,1,4,7,5.23871,9.88922,60.86244,76.0257,14.9,12.8,2.1,9.1,7.1,2.0,272.2,2.6,-1.3
2015,1,4,8,1.69635,48.123329999999996,68.53013,142.31821000000002,12.2,9.4,2.8,7.6,6.5,1.1,266.0,2.5,-1.4
2015,1,4,9,2.14538,74.07465,76.53586,190.11541,15.3,13.6,1.7,11.4,10.4,1.0,262.9,2.9,-1.0
2015,1,4,10,3.39269,85.91651999999999,81.15742,212.89424,18.4,14.7,3.7,9.6,8.5,1.1,259.7,2.7,0.7
2015,1,4,11,5.18882,106.26185,86.66111,249.59367999999998,17.2,15.3,1.9,13.3,11.2,2.1,249.9,2.7,2.9
2015,1,4,12,10.17807,59.65025,82.78543,174.24788,22.7,20.2,2.5,14.7,11.1,3.6,239.8,2.6,4.3
2015,1,4,13,35.274,26.423740000000002,57.412769999999995,97.92860999999999,19.9,13.1,6.8,10.4,7.1,3.3,221.3,3.5,4.8
2015,1,4,14,53.484759999999994,5.35404,26.10371,34.31312,18.3,10.3,8.0,8.6,3.5,5.1,222.2,4.1,4.1
2015,1,4,15,44.803470000000004,5.9524300000000006,27.96027,37.0872,18.9,14.3,4.6,10.5,6.4,4.1,228.8,3.9,3.2
2015,1,4,16,26.991840000000003,9.60577,44.50483,59.23347,20.0,14.7,5.3,12.1,9.5,2.6,226.9,3.7,2.1
2015,1,4,17,21.75313,8.81841,54.375719999999994,67.8971,22.4,17.4,5.0,14.2,11.3,2.9,223.7,3.6,1.6
2015,1,4,18,27.79012,7.05473,47.6858,58.5029,19.0,14.5,4.5,11.8,8.9,2.9,222.8,3.3,1.3
2015,1,4,19,39.2654,4.12576,26.38055,32.70662,18.9,13.7,5.2,13.4,10.1,3.3,224.4,3.3,1.2
2015,1,4,20,33.97679,3.5588599999999997,27.0547,32.511540000000004,15.7,10.3,5.4,13.5,9.3,4.2,227.8,3.9,1.4
2015,1,4,21,32.97894,3.27541,36.59091,41.61313,10.8,7.9,2.9,12.7,9.1,3.6,227.6,4.5,1.4
2015,1,4,22,35.07443,3.96829,30.37002,36.454640000000005,16.1,11.1,5.0,12.4,7.9,4.5,229.5,5.0,2.8
2015,1,4,23,36.92045,3.02346,22.71668,27.35258,15.5,10.6,4.9,13.6,10.3,3.3,228.0,5.2,3.3
2015,1,4,0,31.981090000000002,2.4565599999999996,22.95335,26.72002,18.3,12.1,6.2,17.4,11.8,5.6,226.5,5.0,3.7
2015,1,5,1,28.405459999999998,2.8134900000000003,22.97231,27.286279999999998,26.3,17.6,8.7,20.6,14.5,6.1,226.2,4.3,2.7
2015,1,5,2,28.53851,1.25977,22.69436,24.625989999999998,25.8,20.2,5.6,26.4,16.9,9.5,229.6,4.5,4.0
2015,1,5,3,26.94195,1.1338,19.78864,21.5271,22.2,16.7,5.5,19.6,13.5,6.1,236.0,5.1,4.6
2015,1,5,4,23.20001,1.44874,21.641370000000002,23.86274,31.9,18.8,13.1,25.5,15.5,10.0,238.9,5.1,5.0
2015,1,5,5,21.80302,1.25977,21.5424,23.47403,32.6,18.0,14.6,26.1,16.7,9.4,238.6,4.6,5.4
